,Year of Release,Game Title,Game Price,Score,Votes,Genre
267,2014,Year Walk,5.99,7.82,1923,Horror
268,2014,Sokobond,14.99,7.81,550,Sokoban
269,2014,Tin Star,11.99,7.81,289,RPG
270,2014,Micron,2.99,7.81,166,Casual
271,2014,Marvin's Mittens,5.99,7.8,194,Adventure
272,2014,Super Trench Attack!,4.99,7.8,1257,Action
273,2014,Roundabout,9.99,7.79,557,FMV
274,2014,The Vanishing of Ethan Carter,19.99,7.79,8568,Mystery
275,2014,Sigils of Elohim,0.0,7.78,1054,Puzzle
276,2014,Danmaku Unlimited 2,4.99,7.78,438,Bullet Hell
277,2014,QP Shooting - Dangerous!!,7.99,7.78,480,Bullet Hell
278,2014,Icewind Dale: Enhanced Edition,19.99,7.78,2651,RPG
279,2014,Caravaneer 2,5.99,7.78,344,RPG
280,2014,Contraption Maker,9.99,7.78,1177,Puzzle
281,2014,Splatter - Zombiecalypse Now,6.99,7.77,2263,Action
282,2014,The Desolate Hope,0.0,7.77,1277,RPG
283,2014,BlazBlue: Continuum Shift Extend,19.99,7.76,1486,Fighting
284,2014,LOVE,2.99,7.76,1127,Platformer
285,2014,THE KING OF FIGHTERS '98 ULTIMATE MATCH FINAL EDITION,14.99,7.75,2404,Fighting
286,2014,Dungeonmans,14.99,7.75,986,Traditional Roguelike
287,2014,Home Sheep Home: Farmageddon Party Edition,9.99,7.74,243,Puzzle
288,2014,Dungeon of the ENDLESS™,11.99,7.74,11804,Roguelike
289,2014,Death Skid Marks,0.0,7.73,702,Action
290,2014,Monsters Ate My Birthday Cake,7.99,7.73,95,Adventure
291,2014,Letter Quest: Grimm's Journey,7.99,7.72,387,Casual
292,2014,Ryse: Son of Rome,9.99,7.72,34449,Hack and Slash
293,2014,The Counting Kingdom,6.99,7.72,107,Casual
294,2014,Xenonauts,24.99,7.71,4298,Turn-Based Strategy
295,2014,Desert Golfing,1.99,7.71,75,Sports
296,2014,Gabriel Knight: Sins of the Fathers 20th Anniversary Edition,19.99,7.7,979,Adventure
297,2014,Boring Man - Online Tactical Stickman Combat,0.0,7.7,5419,Side Scroller
298,2014,Cannon Brawl,14.99,7.7,777,Local Multiplayer
299,2014,Sentinels of the Multiverse,9.99,7.7,1491,Card Battler
300,2015,The Witcher® 3: Wild Hunt,39.99,8.66,717559,Open World
301,2015,BeamNG.drive,24.99,8.66,174319,Simulation
302,2015,Undertale,9.99,8.64,196150,Great Soundtrack
303,2015,Life is Strange - Episode 1,0.0,8.58,159767,Story Rich
304,2015,Broforce,2.99,8.57,51884,America
305,2015,Dying Light,29.99,8.56,378987,Zombies
306,2015,Duck Game,12.99,8.5,35053,Funny
307,2015,Keep Talking and Nobody Explodes,14.99,8.49,12106,Co-op
308,2015,Eternal Senia,0.0,8.48,11767,Anime
309,2015,Fran Bow,14.99,8.46,13415,Psychological Horror
310,2015,Kerbal Space Program,39.99,8.46,114555,Space
311,2015,HuniePop,9.99,8.46,29896,Nudity
312,2015,SOMA,29.99,8.46,35284,Horror
313,2015,Universe Sandbox,29.99,8.43,20161,Sandbox
314,2015,Crypt of the NecroDancer,14.99,8.42,22938,Rhythm
315,2015,Nuclear Throne,11.99,8.42,16505,Action Roguelike
316,2015,Hook,1.99,8.41,8633,Casual
317,2015,Mini Metro,9.99,8.39,13485,Strategy
318,2015,Refunct,2.99,8.38,16952,Parkour
319,2015,Cities: Skylines,29.99,8.38,228803,City Builder
320,2015,Downwell,0.98,8.38,7339,Precision Platformer
321,2015,Hylics,2.99,8.37,3652,Surreal
322,2015,Tabletop Simulator,19.99,8.34,58972,Tabletop
323,2015,GUILTY GEAR XX ACCENT CORE PLUS R,14.99,8.33,5676,Fighting
324,2015,The Legend of Heroes: Trails in the Sky SC,19.49,8.33,2778,JRPG
325,2015,Hotline Miami 2: Wrong Number,2.99,8.31,48094,Great Soundtrack
326,2015,TIS-100,6.99,8.29,3585,Programming
327,2015,Shower With Your Dad Simulator 2015: Do You Still Shower With Your Dad,0.99,8.28,9705,Family Friendly
328,2015,fault - milestone two side:above,14.99,8.27,2510,Visual Novel
329,2015,Hyperdimension Neptunia Re;Birth1,14.99,8.27,11686,Anime
330,2015,eden*,19.99,8.26,3129,Visual Novel
331,2015,Caves of Qud,19.99,8.25,5847,Roguelike
332,2015,NEKOPARA Vol. 0,2.99,8.25,17163,Anime
333,2015,Hacknet,9.99,8.24,22493,Hacking
334,2015,GemCraft - Chasing Shadows,9.99,8.23,3646,Tower Defense
335,2015,Higurashi When They Cry Hou - Ch.1 Onikakushi,0.0,8.23,4038,Visual Novel
336,2015,Touhou Kanjuden ~ Legacy of Lunatic Kingdom.,14.99,8.22,1026,Bullet Hell
337,2015,Viscera Cleanup Detail,12.99,8.21,18040,Simulation
338,2015,Gaokao.Love.100Days,9.99,8.2,6920,Dating Sim
339,2015,Cat Goes Fishing,6.99,8.2,8418,Fishing
340,2015,Mad Max,19.99,8.19,67874,Open World
